[2024-02-23 21:21:03] Wrote data to window! 3



[2024-02-23 21:21:03] Recieved info from Drone!  7
[2024-02-23 21:21:03] Wrote data to window! 3



[2024-02-23 21:21:04] Recieved info from Drone!  7
[2024-02-23 21:21:04] Wrote data to window! 3





[2024-02-23 21:21:04] Recieved info from Drone!  7
[2024-02-23 21:21:04] Wrote data to window! 3




[2024-02-23 21:21:04] Recieved info from Drone!  7
[2024-02-23 21:21:04] Wrote data to window! 3


[2024-02-23 21:21:04] Recieved info from Drone!  7
[2024-02-23 21:21:04] Wrote data to window! 3

[2024-02-23 21:21:04] Recieved info from Drone!  7
[2024-02-23 21:21:04] Wrote data to window! 3




[2024-02-23 21:21:04] Recieved info from Drone!  7
[2024-02-23 21:21:04] Wrote data to window! 3

[2024-02-23 21:21:04] Recieved info from Drone!  7
[2024-02-23 21:21:04] Wrote data to window! 3



[2024-02-23 21:21:04] Recieved info from Drone!  7
[2024-02-23 21:21:04] Wrote data to window! 3

[2024-02-23 21:21:04] Recieved info from Drone!  7
[2024-02-23 21:21:04] Wrote data to window! 3

[2024-02-23 21:21:04] Recieved info from Drone!  7
[2024-02-23 21:21:04] Wrote data to window! 3

[2024-02-23 21:21:05] Recieved info from Drone!  7
[2024-02-23 21:21:05] Wrote data to window! 3




[2024-02-23 21:21:05] Recieved info from Drone!  7
[2024-02-23 21:21:05] Wrote data to window! 3




[2024-02-23 21:21:05] Recieved info from Drone!  7
[2024-02-23 21:21:05] Wrote data to window! 3






[2024-02-23 21:21:05] Recieved info from Drone!  7
[2024-02-23 21:21:05] Wrote data to window! 3



[2024-02-23 21:21:05] Recieved info from Drone!  7
[2024-02-23 21:21:05] Wrote data to window! 3




[2024-02-23 21:21:05] Recieved info from Drone!  7
[2024-02-23 21:21:05] Wrote data to window! 3


[2024-02-23 21:21:05] Recieved info from Drone!  7
[2024-02-23 21:21:05] Wrote data to window! 3


[2024-02-23 21:21:05] Recieved info from Drone!  7
[2024-02-23 21:21:05] Wrote data to window! 3




[2024-02-23 21:21:05] Recieved info from Drone!  7
[2024-02-23 21:21:05] Wrote data to window! 3



[2024-02-23 21:21:05] Recieved info from Drone!  7
[2024-02-23 21:21:05] Wrote data to window! 3




[2024-02-23 21:21:06] Recieved info from Drone!  7
[2024-02-23 21:21:06] Wrote data to window! 3




[2024-02-23 21:21:06] Recieved info from Drone!  7
[2024-02-23 21:21:06] Wrote data to window! 3








[2024-02-23 21:21:06] Recieved info from Drone!  7
[2024-02-23 21:21:06] Wrote data to window! 3

[2024-02-23 21:21:06] Recieved info from Drone!  7
[2024-02-23 21:21:06] Wrote data to window! 3



[2024-02-23 21:21:06] Recieved info from Drone!  7
[2024-02-23 21:21:06] Wrote data to window! 3


[2024-02-23 21:21:06] Recieved info from Drone!  7
[2024-02-23 21:21:06] Wrote data to window! 3



[2024-02-23 21:21:06] Recieved info from Drone!  7
[2024-02-23 21:21:06] Wrote data to window! 3


[2024-02-23 21:21:06] Recieved info from Drone!  7
[2024-02-23 21:21:06] Wrote data to window! 3

[2024-02-23 21:21:06] Recieved info from Drone!  7
[2024-02-23 21:21:06] Wrote data to window! 3

[2024-02-23 21:21:06] Recieved info from Drone!  7
[2024-02-23 21:21:06] Wrote data to window! 3





[2024-02-23 21:21:07] Recieved info from Drone!  7
[2024-02-23 21:21:07] Wrote data to window! 3







[2024-02-23 21:21:07] Recieved info from Drone!  7
[2024-02-23 21:21:07] Wrote data to window! 3

[2024-02-23 21:21:07] Recieved info from Drone!  7
[2024-02-23 21:21:07] Wrote data to window! 3

[2024-02-23 21:21:07] Recieved info from Drone!  7
[2024-02-23 21:21:07] Wrote data to window! 3

[2024-02-23 21:21:07] Recieved info from Drone!  7
[2024-02-23 21:21:07] Wrote data to window! 3


[2024-02-23 21:21:07] Recieved info from Drone!  7
[2024-02-23 21:21:07] Wrote data to window! 3

[2024-02-23 21:21:07] Recieved info from Drone!  7
[2024-02-23 21:21:07] Wrote data to window! 3







[2024-02-23 21:21:07] Recieved info from Drone!  7
[2024-02-23 21:21:07] Wrote data to window! 3


[2024-02-23 21:21:07] Recieved info from Drone!  7
[2024-02-23 21:21:07] Wrote data to window! 3




[2024-02-23 21:21:07] Recieved info from Drone!  7
[2024-02-23 21:21:07] Wrote data to window! 3


[2024-02-23 21:21:08] Recieved info from Drone!  7
[2024-02-23 21:21:08] Wrote data to window! 3



[2024-02-23 21:21:08] Recieved info from Drone!  7
[2024-02-23 21:21:08] Wrote data to window! 3





[2024-02-23 21:21:08] Recieved info from Drone!  7
[2024-02-23 21:21:08] Wrote data to window! 3

[2024-02-23 21:21:08] Recieved info from Drone!  7
[2024-02-23 21:21:08] Wrote data to window! 3





[2024-02-23 21:21:08] Recieved info from Drone!  7
[2024-02-23 21:21:08] Wrote data to window! 3







[2024-02-23 21:21:08] Recieved info from Drone!  7
[2024-02-23 21:21:08] Wrote data to window! 3


[2024-02-23 21:21:08] Recieved info from Drone!  7
[2024-02-23 21:21:08] Wrote data to window! 3



[2024-02-23 21:21:08] Recieved info from Drone!  7
[2024-02-23 21:21:08] Wrote data to window! 3





[2024-02-23 21:21:08] Recieved info from Drone!  7
[2024-02-23 21:21:08] Wrote data to window! 3



[2024-02-23 21:21:08] Recieved info from Drone!  7
[2024-02-23 21:21:08] Wrote data to window! 3





[2024-02-23 21:21:09] Recieved info from Drone!  7
[2024-02-23 21:21:09] Wrote data to window! 3

[2024-02-23 21:21:09] Recieved info from Drone!  7
[2024-02-23 21:21:09] Wrote data to window! 3





[2024-02-23 21:21:09] Recieved info from Drone!  7
[2024-02-23 21:21:09] Wrote data to window! 3





